municipio,provincia,lat,lon,sup_m2_total,precio_usd,tipo,ambientes_cat,precio_usd_por_m2,tipo_cat_code,municipio_cat_code,provincia_cat_code,ambientes_cat_code,geometry,precio_usd_por_m2_cat
Almagro,Capital Federal,-34.56910735,-58.40848979999999,85.0,165000.0,PH,4 o mas,1941.1764705882356,0,6,5,4,POINT (-58.40848979999999 -34.56910735),4
Almagro,Capital Federal,-34.609693799999995,-58.419818500000005,72.0,210000.0,apartment,4 o mas,2916.6666666666665,1,6,5,4,POINT (-58.419818500000005 -34.609693799999995),7
Almagro,Capital Federal,-34.6176909,-58.4228255,47.0,120000.0,apartment,3,2553.191489361702,1,6,5,3,POINT (-58.4228255 -34.6176909),6
Almagro,Capital Federal,-34.5978120648,-58.4255965334,32.0,78490.0,apartment,1,2452.8125,1,6,5,1,POINT (-58.4255965334 -34.5978120648),6
Almagro,Capital Federal,-34.61591370000001,-58.41585870000001,167.0,289000.0,PH,4 o mas,1730.5389221556886,0,6,5,4,POINT (-58.41585870000001 -34.61591370000001),3
Almagro,Capital Federal,-34.61591370000001,-58.41585870000001,167.0,289000.0,PH,4 o mas,1730.5389221556886,0,6,5,4,POINT (-58.41585870000001 -34.61591370000001),3
Almagro,Capital Federal,-34.61591370000001,-58.41585870000001,167.0,289000.0,PH,4 o mas,1730.5389221556886,0,6,5,4,POINT (-58.41585870000001 -34.61591370000001),3
Almagro,Capital Federal,-34.61591370000001,-58.41585870000001,167.0,289000.0,apartment,4 o mas,1730.5389221556886,1,6,5,4,POINT (-58.41585870000001 -34.61591370000001),3
Almagro,Capital Federal,-34.61591370000001,-58.41585870000001,167.0,289000.0,apartment,4 o mas,1730.5389221556886,1,6,5,4,POINT (-58.41585870000001 -34.61591370000001),3
Almagro,Capital Federal,-34.61591370000001,-58.41585870000001,167.0,289000.0,apartment,4 o mas,1730.5389221556886,1,6,5,4,POINT (-58.41585870000001 -34.61591370000001),3
Almagro,Capital Federal,-34.6057422,-58.424519700000005,87.0,230000.0,PH,3,2643.67816091954,0,6,5,3,POINT (-58.424519700000005 -34.6057422),7
Almagro,Capital Federal,-34.6110583,-58.4201892,34.0,73038.0,apartment,1,2148.176470588235,1,6,5,1,POINT (-58.4201892 -34.6110583),5
Almagro,Capital Federal,-34.5978473909,-58.4260256868,38.0,79712.0,apartment,1,2097.684210526316,1,6,5,1,POINT (-58.4260256868 -34.5978473909),5
Almagro,Capital Federal,-34.5999581619,-58.4274452032,35.0,81200.0,apartment,1,2320.0,1,6,5,1,POINT (-58.4274452032 -34.5999581619),6
Almagro,Capital Federal,-34.600011149699995,-58.4274237455,32.0,81200.0,apartment,1,2537.5,1,6,5,1,POINT (-58.4274237455 -34.600011149699995),6
Almagro,Capital Federal,-34.6110583,-58.4201892,65.0,230000.0,PH,3,3538.4615384615386,0,6,5,3,POINT (-58.4201892 -34.6110583),8
Almagro,Capital Federal,-34.6024297,-58.42986479999999,54.0,144500.0,apartment,2,2675.925925925926,1,6,5,2,POINT (-58.42986479999999 -34.6024297),7
Almagro,Capital Federal,-34.597730753200004,-58.4248032963,65.0,172960.0,apartment,3,2660.923076923077,1,6,5,3,POINT (-58.4248032963 -34.597730753200004),7
Almagro,Capital Federal,-34.5978676,-58.4260397,65.0,175404.0,apartment,3,2698.523076923077,1,6,5,3,POINT (-58.4260397 -34.5978676),7
Almagro,Capital Federal,-34.610561600000004,-58.4303573,78.0,187000.0,apartment,4 o mas,2397.435897435897,1,6,5,4,POINT (-58.4303573 -34.610561600000004),6
Almagro,Capital Federal,-34.6065692,-58.41113670000001,63.0,160000.0,apartment,4 o mas,2539.68253968254,1,6,5,4,POINT (-58.41113670000001 -34.6065692),6
Almagro,Capital Federal,-34.6065692,-58.41113670000001,63.0,160000.0,PH,4 o mas,2539.68253968254,0,6,5,4,POINT (-58.41113670000001 -34.6065692),6
Almagro,Capital Federal,-34.6065692,-58.41113670000001,63.0,160000.0,apartment,4 o mas,2539.68253968254,1,6,5,4,POINT (-58.41113670000001 -34.6065692),6
Almagro,Capital Federal,-34.6065692,-58.41113670000001,63.0,160000.0,PH,4 o mas,2539.68253968254,0,6,5,4,POINT (-58.41113670000001 -34.6065692),6
Almagro,Capital Federal,-34.6082326,-58.4175624,159.0,309000.0,house,4 o mas,1943.3962264150944,2,6,5,4,POINT (-58.4175624 -34.6082326),4
Almagro,Capital Federal,-34.6042567,-58.4305325,130.0,315000.0,PH,4 o mas,2423.076923076923,0,6,5,4,POINT (-58.4305325 -34.6042567),6
Almagro,Capital Federal,-34.6052721,-58.4274012,73.0,155000.0,apartment,3,2123.2876712328766,1,6,5,3,POINT (-58.4274012 -34.6052721),5
Almagro,Capital Federal,-34.605431,-58.406587300000005,58.0,110000.0,apartment,3,1896.551724137931,1,6,5,3,POINT (-58.406587300000005 -34.605431),4
Almagro,Capital Federal,-34.603077,-58.42859250000001,40.0,80000.0,apartment,2,2000.0,1,6,5,2,POINT (-58.42859250000001 -34.603077),4
Almagro,Capital Federal,-34.616489,-58.418777,29.0,65000.0,apartment,1,2241.3793103448274,1,6,5,1,POINT (-58.418777 -34.616489),5
Almagro,Capital Federal,-34.6126,-58.419229,29.0,100000.0,apartment,1,3448.2758620689656,1,6,5,1,POINT (-58.419229 -34.6126),8
Almagro,Capital Federal,-34.60404262,-58.43072202,70.0,147000.0,apartment,3,2100.0,1,6,5,3,POINT (-58.43072202 -34.60404262),5
Almagro,Capital Federal,-34.6028321,-58.4242999,103.0,329309.0,apartment,4 o mas,3197.1747572815534,1,6,5,4,POINT (-58.4242999 -34.6028321),8
Almagro,Capital Federal,-34.6028321,-58.4242999,28.0,96208.0,apartment,1,3436.0,1,6,5,1,POINT (-58.4242999 -34.6028321),8
Almagro,Capital Federal,-34.6146681,-58.4181625,400.0,550000.0,house,4 o mas,1375.0,2,6,5,4,POINT (-58.4181625 -34.6146681),2
Almagro,Capital Federal,-34.6037178747,-58.4165546755,70.0,285000.0,apartment,3,4071.428571428572,1,6,5,3,POINT (-58.4165546755 -34.6037178747),9
Almagro,Capital Federal,-34.6101433,-58.42481120000001,34.0,78000.0,apartment,1,2294.1176470588234,1,6,5,1,POINT (-58.42481120000001 -34.6101433),5
Almagro,Capital Federal,-34.6055785891,-58.4171212067,43.0,98000.0,apartment,3,2279.0697674418607,1,6,5,3,POINT (-58.4171212067 -34.6055785891),5
Almagro,Capital Federal,-34.604078200000004,-58.42949010000001,37.0,78000.0,apartment,2,2108.108108108108,1,6,5,2,POINT (-58.42949010000001 -34.604078200000004),5
Almagro,Capital Federal,-34.601165,-58.417126,45.0,143000.0,apartment,2,3177.777777777778,1,6,5,2,POINT (-58.417126 -34.601165),8
Almagro,Capital Federal,-34.6057469,-58.4155247,50.0,145000.0,apartment,3,2900.0,1,6,5,3,POINT (-58.4155247 -34.6057469),7
Almagro,Capital Federal,-34.6073282,-58.412781200000005,80.0,120000.0,apartment,4 o mas,1500.0,1,6,5,4,POINT (-58.412781200000005 -34.6073282),2
Almagro,Capital Federal,-34.603771,-58.381587,420.0,690000.0,house,4 o mas,1642.857142857143,2,6,5,4,POINT (-58.381587 -34.603771),3
Almagro,Capital Federal,-34.608559,-58.4174436,130.0,200000.0,apartment,4 o mas,1538.4615384615386,1,6,5,4,POINT (-58.4174436 -34.608559),2
Almagro,Capital Federal,-34.617233299999995,-58.415535,55.0,109000.0,apartment,2,1981.8181818181815,1,6,5,2,POINT (-58.415535 -34.617233299999995),4
Almagro,Capital Federal,-34.614870700000004,-58.4257681,210.0,450000.0,house,4 o mas,2142.8571428571427,2,6,5,4,POINT (-58.4257681 -34.614870700000004),5
Almagro,Capital Federal,-34.6078795,-58.4118497,80.0,175000.0,PH,3,2187.5,0,6,5,3,POINT (-58.4118497 -34.6078795),5
Almagro,Capital Federal,-34.6035149,-58.426823,27.0,67934.15,apartment,1,2516.0796296296294,1,6,5,1,POINT (-58.426823 -34.6035149),6
Almagro,Capital Federal,-34.6035149,-58.426823,27.0,67934.15,apartment,1,2516.0796296296294,1,6,5,1,POINT (-58.426823 -34.6035149),6
Almagro,Capital Federal,-34.6132024,-58.43089989999999,62.0,147472.02,apartment,3,2378.580967741935,1,6,5,3,POINT (-58.43089989999999 -34.6132024),6
Almagro,Capital Federal,-34.618945000000004,-58.417022,36.0,84000.0,apartment,1,2333.333333333333,1,6,5,1,POINT (-58.417022 -34.618945000000004),6
