municipio,provincia,lat,lon,sup_m2_total,precio_usd,tipo,ambientes_cat,precio_usd_por_m2,tipo_cat_code,municipio_cat_code,provincia_cat_code,ambientes_cat_code,geometry,precio_usd_por_m2_cat
Belgrano,Capital Federal,-34.5598729,-58.443362,40.0,138000.0,apartment,1,3450.0,1,25,5,1,POINT (-58.443362 -34.5598729),8
Belgrano,Capital Federal,-34.5598729,-58.443362,60.0,195000.0,apartment,2,3250.0,1,25,5,2,POINT (-58.443362 -34.5598729),8
Belgrano,Capital Federal,-34.5639725,-58.456535,30.0,250000.0,store,0,8333.333333333334,3,25,5,0,POINT (-58.456535 -34.5639725),9
Belgrano,Capital Federal,-34.5626966465,-58.4601567114,55.0,178000.0,apartment,2,3236.3636363636365,1,25,5,2,POINT (-58.4601567114 -34.5626966465),8
Belgrano,Capital Federal,-34.5620844,-58.4566864,54.0,240000.0,apartment,2,4444.444444444444,1,25,5,2,POINT (-58.4566864 -34.5620844),9
Belgrano,Capital Federal,-34.5621457,-58.449657,150.0,550000.0,apartment,4 o mas,3666.6666666666665,1,25,5,4,POINT (-58.449657 -34.5621457),8
Belgrano,Capital Federal,-34.565318066,-58.44175186020001,300.0,1100000.0,apartment,4 o mas,3666.6666666666665,1,25,5,4,POINT (-58.44175186020001 -34.565318066),8
Belgrano,Capital Federal,-34.5652650561,-58.438232802,53.0,237895.0,apartment,2,4488.584905660377,1,25,5,2,POINT (-58.438232802 -34.5652650561),9
Belgrano,Capital Federal,-34.5652650561,-58.438232802,53.0,237895.0,apartment,2,4488.584905660377,1,25,5,2,POINT (-58.438232802 -34.5652650561),9
Belgrano,Capital Federal,-34.5640079,-58.45670429999999,33.0,92600.0,apartment,1,2806.060606060606,1,25,5,1,POINT (-58.45670429999999 -34.5640079),7
Belgrano,Capital Federal,-34.5620844,-58.4566864,120.0,340000.0,apartment,4 o mas,2833.333333333333,1,25,5,4,POINT (-58.4566864 -34.5620844),7
Belgrano,Capital Federal,-34.57478820000001,-58.46376850000001,130.0,520000.0,apartment,3,4000.0,1,25,5,3,POINT (-58.46376850000001 -34.57478820000001),9
Belgrano,Capital Federal,-34.562043,-58.461685,44.0,117000.0,apartment,2,2659.090909090909,1,25,5,2,POINT (-58.461685 -34.562043),7
Belgrano,Capital Federal,-34.5666711,-58.4720061,52.0,152000.0,PH,2,2923.076923076923,0,25,5,2,POINT (-58.4720061 -34.5666711),7
Belgrano,Capital Federal,-34.5666711,-58.4720061,52.0,152000.0,PH,3,2923.076923076923,0,25,5,3,POINT (-58.4720061 -34.5666711),7
Belgrano,Capital Federal,-34.5666225,-58.4721291,52.0,152000.0,PH,3,2923.076923076923,0,25,5,3,POINT (-58.4721291 -34.5666225),7
Belgrano,Capital Federal,-34.572860247,-58.4396162589,185.0,585000.0,apartment,4 o mas,3162.162162162162,1,25,5,4,POINT (-58.4396162589 -34.572860247),8
Belgrano,Capital Federal,-34.572860247,-58.4396162589,185.0,585000.0,apartment,4 o mas,3162.162162162162,1,25,5,4,POINT (-58.4396162589 -34.572860247),8
Belgrano,Capital Federal,-34.5499217064,-58.4508016024,143.0,360000.0,apartment,4 o mas,2517.4825174825173,1,25,5,4,POINT (-58.4508016024 -34.5499217064),6
Belgrano,Capital Federal,-34.5639829756,-58.450130173000005,286.0,1450000.0,apartment,4 o mas,5069.93006993007,1,25,5,4,POINT (-58.450130173000005 -34.5639829756),9
Belgrano,Capital Federal,-34.5663225,-58.46308570000001,69.0,170000.0,apartment,2,2463.768115942029,1,25,5,2,POINT (-58.46308570000001 -34.5663225),6
Belgrano,Capital Federal,-34.5606643,-58.44220870000001,84.0,307650.0,apartment,3,3662.5,1,25,5,3,POINT (-58.44220870000001 -34.5606643),8
Belgrano,Capital Federal,-34.5606643,-58.44220870000001,84.0,385014.0,apartment,3,4583.5,1,25,5,3,POINT (-58.44220870000001 -34.5606643),9
Belgrano,Capital Federal,-34.5606643,-58.44220870000001,120.0,587895.0,apartment,4 o mas,4899.125,1,25,5,4,POINT (-58.44220870000001 -34.5606643),9
Belgrano,Capital Federal,-34.5606643,-58.44220870000001,100.0,506468.0,apartment,3,5064.68,1,25,5,3,POINT (-58.44220870000001 -34.5606643),9
Belgrano,Capital Federal,-34.571845399999994,-58.432731700000005,121.0,438000.0,apartment,4 o mas,3619.8347107438017,1,25,5,4,POINT (-58.432731700000005 -34.571845399999994),8
Belgrano,Capital Federal,-34.562708,-58.465375,42.0,118526.0,apartment,2,2822.0476190476197,1,25,5,2,POINT (-58.465375 -34.562708),7
Belgrano,Capital Federal,-34.562708,-58.465375,42.0,119144.0,apartment,2,2836.7619047619046,1,25,5,2,POINT (-58.465375 -34.562708),7
Belgrano,Capital Federal,-34.562708,-58.465375,42.0,119761.0,apartment,2,2851.4523809523807,1,25,5,2,POINT (-58.465375 -34.562708),7
Belgrano,Capital Federal,-34.562708,-58.465375,42.0,120378.0,apartment,2,2866.1428571428573,1,25,5,2,POINT (-58.465375 -34.562708),7
Belgrano,Capital Federal,-34.562708,-58.465375,40.0,127710.0,apartment,2,3192.75,1,25,5,2,POINT (-58.465375 -34.562708),8
Belgrano,Capital Federal,-34.562708,-58.465375,40.0,128393.0,apartment,2,3209.825,1,25,5,2,POINT (-58.465375 -34.562708),8
Belgrano,Capital Federal,-34.562708,-58.465375,40.0,129076.0,apartment,2,3226.9,1,25,5,2,POINT (-58.465375 -34.562708),8
Belgrano,Capital Federal,-34.562708,-58.465375,40.0,132437.0,apartment,2,3310.925,1,25,5,2,POINT (-58.465375 -34.562708),8
Belgrano,Capital Federal,-34.562708,-58.465375,40.0,133130.0,apartment,2,3328.25,1,25,5,2,POINT (-58.465375 -34.562708),8
Belgrano,Capital Federal,-34.569246,-58.4711497,246.0,635000.0,house,4 o mas,2581.3008130081303,2,25,5,4,POINT (-58.4711497 -34.569246),6
Belgrano,Capital Federal,-34.5673754305,-58.450069446,122.0,239000.0,apartment,3,1959.016393442623,1,25,5,3,POINT (-58.450069446 -34.5673754305),4
Belgrano,Capital Federal,-34.5519693,-58.4434368,200.0,1200000.0,apartment,4 o mas,6000.0,1,25,5,4,POINT (-58.4434368 -34.5519693),9
Belgrano,Capital Federal,-34.5625693905,-58.465832649700005,53.0,119689.0,apartment,2,2258.2830188679245,1,25,5,2,POINT (-58.465832649700005 -34.5625693905),5
Belgrano,Capital Federal,-34.571151837600006,-58.4347782312,40.0,130000.0,apartment,1,3250.0,1,25,5,1,POINT (-58.4347782312 -34.571151837600006),8
Belgrano,Capital Federal,-34.5528283394,-58.4562092821,31.0,96000.0,apartment,1,3096.7741935483878,1,25,5,1,POINT (-58.4562092821 -34.5528283394),8
Belgrano,Capital Federal,-34.553283951,-58.451579474,47.0,170000.0,apartment,2,3617.021276595745,1,25,5,2,POINT (-58.451579474 -34.553283951),8
