municipio,provincia,lat,lon,sup_m2_total,precio_usd,tipo,ambientes_cat,precio_usd_por_m2,tipo_cat_code,municipio_cat_code,provincia_cat_code,ambientes_cat_code,geometry,precio_usd_por_m2_cat
Mataderos,Capital Federal,-34.6618237,-58.5088387,40.0,62000.0,PH,1,1550.0,0,194,5,1,POINT (-58.5088387 -34.6618237),2
Mataderos,Capital Federal,-34.6522615,-58.5229825,55.0,72000.0,apartment,2,1309.090909090909,1,194,5,2,POINT (-58.5229825 -34.6522615),2
Belgrano,Capital Federal,-34.5598729,-58.443362,40.0,138000.0,apartment,1,3450.0,1,25,5,1,POINT (-58.443362 -34.5598729),8
Belgrano,Capital Federal,-34.5598729,-58.443362,60.0,195000.0,apartment,2,3250.0,1,25,5,2,POINT (-58.443362 -34.5598729),8
Mataderos,Capital Federal,-34.6523561177,-58.5016239381,98.0,239000.0,PH,4 o mas,2438.775510204081,0,194,5,4,POINT (-58.5016239381 -34.6523561177),6
Palermo,Capital Federal,-34.580503566,-58.4058744847,96.0,350000.0,apartment,3,3645.8333333333335,1,227,5,3,POINT (-58.4058744847 -34.580503566),8
Palermo,Capital Federal,-34.590926,-58.4116653,73.0,270500.0,apartment,4 o mas,3705.4794520547935,1,227,5,4,POINT (-58.4116653 -34.590926),8
Flores,Capital Federal,-34.635117947800005,-58.4739639408,43.0,75000.0,apartment,2,1744.186046511628,1,108,5,2,POINT (-58.4739639408 -34.635117947800005),3
Boedo,Capital Federal,-34.6217693287,-58.4221081951,77.0,145000.0,apartment,4 o mas,1883.1168831168832,1,31,5,4,POINT (-58.4221081951 -34.6217693287),4
Puerto Madero,Capital Federal,-34.6177194,-58.3620561,50.0,70000.0,house,1,1400.0,2,254,5,1,POINT (-58.3620561 -34.6177194),2
Balvanera,Capital Federal,-34.60967479999999,-58.3986588,124.0,240000.0,apartment,4 o mas,1935.483870967742,1,20,5,4,POINT (-58.3986588 -34.60967479999999),4
Boedo,Capital Federal,-34.636320899999994,-58.4107019,324.0,550000.0,house,4 o mas,1697.530864197531,2,31,5,4,POINT (-58.4107019 -34.636320899999994),3
Caballito,Capital Federal,-34.6222111,-58.43912829999999,50.0,110000.0,apartment,3,2200.0,1,34,5,3,POINT (-58.43912829999999 -34.6222111),5
Caballito,Capital Federal,-34.6238943143,-58.4468606529,46.0,170500.0,apartment,2,3706.521739130435,1,34,5,2,POINT (-58.4468606529 -34.6238943143),8
Caballito,Capital Federal,-34.6209278,-58.445873600000006,75.0,220410.0,apartment,3,2938.8,1,34,5,3,POINT (-58.445873600000006 -34.6209278),7
Caballito,Capital Federal,-34.6209278,-58.445873600000006,75.0,222780.0,apartment,3,2970.4,1,34,5,3,POINT (-58.445873600000006 -34.6209278),7
Belgrano,Capital Federal,-34.5639725,-58.456535,30.0,250000.0,store,0,8333.333333333334,3,25,5,0,POINT (-58.456535 -34.5639725),9
Caballito,Capital Federal,-34.6287865,-58.42778320000001,67.0,108000.0,apartment,3,1611.9402985074628,1,34,5,3,POINT (-58.42778320000001 -34.6287865),3
Nuñez,Capital Federal,-34.553577600000004,-58.45551139999999,50.0,173000.0,apartment,2,3460.0,1,217,5,2,POINT (-58.45551139999999 -34.553577600000004),8
Boedo,Capital Federal,-34.6187769485,-58.4026450688,38.0,72900.0,apartment,1,1918.421052631579,1,31,5,1,POINT (-58.4026450688 -34.6187769485),4
Belgrano,Capital Federal,-34.5626966465,-58.4601567114,55.0,178000.0,apartment,2,3236.3636363636365,1,25,5,2,POINT (-58.4601567114 -34.5626966465),8
Colegiales,Capital Federal,-34.579394,-58.445882,126.0,249000.0,PH,4 o mas,1976.190476190476,0,69,5,4,POINT (-58.445882 -34.579394),4
Floresta,Capital Federal,-34.6280255,-58.46624789999999,170.0,219500.0,house,3,1291.1764705882354,2,109,5,3,POINT (-58.46624789999999 -34.6280255),1
Balvanera,Capital Federal,-34.617226445,-58.3959429368,80.0,129000.0,apartment,4 o mas,1612.5,1,20,5,4,POINT (-58.3959429368 -34.617226445),3
Caballito,Capital Federal,-34.620725,-58.438704,51.0,128000.0,apartment,2,2509.803921568628,1,34,5,2,POINT (-58.438704 -34.620725),6
