municipio,provincia,lat,lon,sup_m2_total,precio_usd,tipo,ambientes_cat,precio_usd_por_m2,tipo_cat_code,municipio_cat_code,provincia_cat_code,ambientes_cat_code,geometry,precio_usd_por_m2_cat
Caballito,Capital Federal,-34.6222111,-58.43912829999999,50.0,110000.0,apartment,3,2200.0,1,34,5,3,POINT (-58.43912829999999 -34.6222111),5
Caballito,Capital Federal,-34.6238943143,-58.4468606529,46.0,170500.0,apartment,2,3706.521739130435,1,34,5,2,POINT (-58.4468606529 -34.6238943143),8
Caballito,Capital Federal,-34.6209278,-58.445873600000006,75.0,220410.0,apartment,3,2938.8,1,34,5,3,POINT (-58.445873600000006 -34.6209278),7
Caballito,Capital Federal,-34.6209278,-58.445873600000006,75.0,222780.0,apartment,3,2970.4,1,34,5,3,POINT (-58.445873600000006 -34.6209278),7
Caballito,Capital Federal,-34.6287865,-58.42778320000001,67.0,108000.0,apartment,3,1611.9402985074628,1,34,5,3,POINT (-58.42778320000001 -34.6287865),3
Caballito,Capital Federal,-34.620725,-58.438704,51.0,128000.0,apartment,2,2509.803921568628,1,34,5,2,POINT (-58.438704 -34.620725),6
Caballito,Capital Federal,-34.610434999999995,-58.443029,154.0,445000.0,apartment,4 o mas,2889.6103896103896,1,34,5,4,POINT (-58.443029 -34.610434999999995),7
Caballito,Capital Federal,-34.6173252463,-58.4492611885,30.0,70500.0,apartment,1,2350.0,1,34,5,1,POINT (-58.4492611885 -34.6173252463),6
Caballito,Capital Federal,-34.6064821857,-58.458404880500005,25.0,64500.0,apartment,1,2580.0,1,34,5,1,POINT (-58.458404880500005 -34.6064821857),6
Caballito,Capital Federal,-34.609806299999995,-58.4547167,37.0,91000.0,apartment,1,2459.45945945946,1,34,5,1,POINT (-58.4547167 -34.609806299999995),6
Caballito,Capital Federal,-34.6040507,-58.4324956,178.0,355000.0,apartment,4 o mas,1994.3820224719104,1,34,5,4,POINT (-58.4324956 -34.6040507),4
Caballito,Capital Federal,-34.6209278,-58.445873600000006,25.0,65500.0,apartment,1,2620.0,1,34,5,1,POINT (-58.445873600000006 -34.6209278),6
Caballito,Capital Federal,-34.6259473144,-58.4328219442,62.0,158000.0,apartment,3,2548.3870967741937,1,34,5,3,POINT (-58.4328219442 -34.6259473144),6
Caballito,Capital Federal,-34.610347999999995,-58.4477353,99.0,250000.0,house,4 o mas,2525.252525252525,2,34,5,4,POINT (-58.4477353 -34.610347999999995),6
Caballito,Capital Federal,-34.606658797600005,-58.4488776741,29.0,95000.0,apartment,1,3275.862068965517,1,34,5,1,POINT (-58.4488776741 -34.606658797600005),8
Caballito,Capital Federal,-34.6184909411,-58.437848430600006,95.0,245000.0,apartment,4 o mas,2578.9473684210525,1,34,5,4,POINT (-58.437848430600006 -34.6184909411),6
Caballito,Capital Federal,-34.613614,-58.4626458,30.0,70900.0,apartment,1,2363.333333333333,1,34,5,1,POINT (-58.4626458 -34.613614),6
Caballito,Capital Federal,-34.6097156,-58.4433275,94.0,224500.0,apartment,4 o mas,2388.2978723404253,1,34,5,4,POINT (-58.4433275 -34.6097156),6
Caballito,Capital Federal,-34.6209278,-58.445873600000006,145.0,270000.0,apartment,4 o mas,1862.0689655172412,1,34,5,4,POINT (-58.445873600000006 -34.6209278),4
Caballito,Capital Federal,-34.6076183,-58.4468311,85.0,168000.0,apartment,3,1976.470588235294,1,34,5,3,POINT (-58.4468311 -34.6076183),4
Caballito,Capital Federal,-34.62818,-58.429483,37.0,127500.0,apartment,1,3445.945945945946,1,34,5,1,POINT (-58.429483 -34.62818),8
Caballito,Capital Federal,-34.62818,-58.429483,37.0,127500.0,apartment,1,3445.945945945946,1,34,5,1,POINT (-58.429483 -34.62818),8
Caballito,Capital Federal,-34.62818,-58.429483,36.0,128000.0,apartment,1,3555.555555555556,1,34,5,1,POINT (-58.429483 -34.62818),8
Caballito,Capital Federal,-34.62818,-58.429483,36.0,128000.0,apartment,1,3555.555555555556,1,34,5,1,POINT (-58.429483 -34.62818),8
Caballito,Capital Federal,-34.62818,-58.429483,25.0,90000.0,apartment,1,3600.0,1,34,5,1,POINT (-58.429483 -34.62818),8
Caballito,Capital Federal,-34.62818,-58.429483,36.0,123500.0,apartment,1,3430.555555555556,1,34,5,1,POINT (-58.429483 -34.62818),8
Caballito,Capital Federal,-34.62818,-58.429483,36.0,123500.0,apartment,1,3430.555555555556,1,34,5,1,POINT (-58.429483 -34.62818),8
Caballito,Capital Federal,-34.62818,-58.429483,36.0,124500.0,apartment,1,3458.333333333333,1,34,5,1,POINT (-58.429483 -34.62818),8
Caballito,Capital Federal,-34.62818,-58.429483,36.0,124500.0,apartment,1,3458.333333333333,1,34,5,1,POINT (-58.429483 -34.62818),8
Caballito,Capital Federal,-34.62818,-58.429483,25.0,87100.0,apartment,1,3484.0,1,34,5,1,POINT (-58.429483 -34.62818),8
Caballito,Capital Federal,-34.62818,-58.429483,43.0,163700.0,apartment,2,3806.9767441860463,1,34,5,2,POINT (-58.429483 -34.62818),8
Caballito,Capital Federal,-34.620367,-58.438849,115.0,269000.0,apartment,4 o mas,2339.1304347826085,1,34,5,4,POINT (-58.438849 -34.620367),6
Caballito,Capital Federal,-34.6045148,-58.4611725,48.0,112000.0,apartment,1,2333.333333333333,1,34,5,1,POINT (-58.4611725 -34.6045148),6
Caballito,Capital Federal,-34.621272,-58.438318,93.0,229000.0,apartment,4 o mas,2462.3655913978496,1,34,5,4,POINT (-58.438318 -34.621272),6
Caballito,Capital Federal,-34.621814,-58.4399847,97.0,350000.0,apartment,4 o mas,3608.247422680413,1,34,5,4,POINT (-58.4399847 -34.621814),8
Caballito,Capital Federal,-34.624044,-58.430979,360.0,790000.0,house,4 o mas,2194.4444444444443,2,34,5,4,POINT (-58.430979 -34.624044),5
