municipio,provincia,lat,lon,sup_m2_total,precio_usd,tipo,ambientes_cat,precio_usd_por_m2,tipo_cat_code,municipio_cat_code,provincia_cat_code,ambientes_cat_code,geometry,precio_usd_por_m2_cat
San Telmo,Capital Federal,-34.626675382399995,-58.37266568890001,36.0,108356.0,apartment,1,3009.8888888888887,1,322,5,1,POINT (-58.37266568890001 -34.626675382399995),7
San Telmo,Capital Federal,-34.624470200000005,-58.371174200000006,75.0,164000.0,store,1,2186.6666666666665,3,322,5,1,POINT (-58.371174200000006 -34.624470200000005),5
San Telmo,Capital Federal,-34.6211839,-58.37311629999999,79.0,210000.0,store,1,2658.227848101266,3,322,5,1,POINT (-58.37311629999999 -34.6211839),7
San Telmo,Capital Federal,-34.6211839,-58.37311629999999,55.0,94000.0,apartment,3,1709.090909090909,1,322,5,3,POINT (-58.37311629999999 -34.6211839),3
San Telmo,Capital Federal,-34.617022,-58.372935,48.0,104156.0,apartment,1,2169.9166666666665,1,322,5,1,POINT (-58.372935 -34.617022),5
San Telmo,Capital Federal,-34.617404984000004,-58.3727729772,44.0,111100.0,apartment,1,2525.0,1,322,5,1,POINT (-58.3727729772 -34.617404984000004),6
San Telmo,Capital Federal,-34.6287428,-58.3707239,170.0,220000.0,PH,4 o mas,1294.1176470588234,0,322,5,4,POINT (-58.3707239 -34.6287428),2
San Telmo,Capital Federal,-34.619713700000005,-58.3784768,173.0,320000.0,house,4 o mas,1849.7109826589597,2,322,5,4,POINT (-58.3784768 -34.619713700000005),4
San Telmo,Capital Federal,-34.6269545,-58.378711800000005,332.0,300000.0,store,4 o mas,903.6144578313254,3,322,5,4,POINT (-58.378711800000005 -34.6269545),0
San Telmo,Capital Federal,-34.6211839,-58.37311629999999,34.0,88000.0,apartment,1,2588.235294117647,1,322,5,1,POINT (-58.37311629999999 -34.6211839),6
San Telmo,Capital Federal,-34.611392200000004,-58.373383,50.0,170000.0,apartment,1,3400.0,1,322,5,1,POINT (-58.373383 -34.611392200000004),8
San Telmo,Capital Federal,-34.617687,-58.373086,56.0,120000.0,apartment,2,2142.8571428571427,1,322,5,2,POINT (-58.373086 -34.617687),5
San Telmo,Capital Federal,-34.618129,-58.375554,163.0,245000.0,apartment,4 o mas,1503.0674846625766,1,322,5,4,POINT (-58.375554 -34.618129),2
San Telmo,Capital Federal,-34.621192,-58.377854000000006,82.0,168900.0,apartment,2,2059.756097560976,1,322,5,2,POINT (-58.377854000000006 -34.621192),5
San Telmo,Capital Federal,-34.624168,-58.377485,54.0,110000.0,apartment,3,2037.037037037037,1,322,5,3,POINT (-58.377485 -34.624168),4
San Telmo,Capital Federal,-34.618507,-58.3743493,48.0,110000.0,apartment,3,2291.6666666666665,1,322,5,3,POINT (-58.3743493 -34.618507),5
San Telmo,Capital Federal,-34.6269285,-58.3725457,57.0,140000.0,apartment,1,2456.1403508771928,1,322,5,1,POINT (-58.3725457 -34.6269285),6
San Telmo,Capital Federal,-34.6175845,-58.3771975,43.0,100349.0,apartment,1,2333.6976744186045,1,322,5,1,POINT (-58.3771975 -34.6175845),6
San Telmo,Capital Federal,-34.6174079113,-58.3772833307,35.0,86255.0,apartment,1,2464.428571428572,1,322,5,1,POINT (-58.3772833307 -34.6174079113),6
