municipio,provincia,lat,lon,sup_m2_total,precio_usd,tipo,ambientes_cat,precio_usd_por_m2,tipo_cat_code,municipio_cat_code,provincia_cat_code,ambientes_cat_code,geometry,precio_usd_por_m2_cat
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.738010100000004,-58.4038541,70.0,165000.0,house,1,2357.1428571428573,2,168,2,1,POINT (-58.4038541 -34.738010100000004),6
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7491566,-58.3951076,37.0,90000.0,apartment,2,2432.4324324324325,1,168,2,2,POINT (-58.3951076 -34.7491566),6
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7586649,-58.39768370000001,59.0,105000.0,apartment,2,1779.6610169491526,1,168,2,2,POINT (-58.39768370000001 -34.7586649),3
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.748692,-58.400606,20.0,510000.0,house,4 o mas,25500.0,2,168,2,4,POINT (-58.400606 -34.748692),9
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7568813644,-58.4009714637,72.0,100000.0,apartment,,1388.888888888889,1,168,2,-1,POINT (-58.4009714637 -34.7568813644),2
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.741491,-58.3773569,111.0,160000.0,house,2,1441.4414414414414,2,168,2,2,POINT (-58.3773569 -34.741491),2
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.76352070000001,-58.4170108,75.0,110000.0,PH,3,1466.6666666666667,0,168,2,3,POINT (-58.4170108 -34.76352070000001),2
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.736446,-58.404844,110.0,160000.0,house,4 o mas,1454.5454545454545,2,168,2,4,POINT (-58.404844 -34.736446),2
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7454768,-58.4587103,160.0,92000.0,house,4 o mas,575.0,2,168,2,4,POINT (-58.4587103 -34.7454768),0
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7524947122,-58.3949742153,55.0,110000.0,apartment,3,2000.0,1,168,2,3,POINT (-58.3949742153 -34.7524947122),4
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.752195,-58.3949313,55.0,110000.0,PH,3,2000.0,0,168,2,3,POINT (-58.3949313 -34.752195),4
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7251123,-58.4759527,130.0,150000.0,apartment,4 o mas,1153.8461538461538,1,168,2,4,POINT (-58.4759527 -34.7251123),1
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7425927,-58.3945574,44.0,119000.0,apartment,2,2704.5454545454545,1,168,2,2,POINT (-58.3945574 -34.7425927),7
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7585801377,-58.3837723314,100.0,130000.0,house,2,1300.0,2,168,2,2,POINT (-58.3837723314 -34.7585801377),2
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.744442,-58.395016000000005,45.0,78500.0,apartment,3,1744.4444444444443,1,168,2,3,POINT (-58.395016000000005 -34.744442),3
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.745738,-58.395231,45.0,74500.0,apartment,2,1655.5555555555557,1,168,2,2,POINT (-58.395231 -34.745738),3
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.744442,-58.39491999999999,44.0,70500.0,apartment,2,1602.2727272727273,1,168,2,2,POINT (-58.39491999999999 -34.744442),3
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.745809,-58.401818000000006,20.0,620000.0,house,4 o mas,31000.0,2,168,2,4,POINT (-58.401818000000006 -34.745809),9
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.753863,-58.3968578,55.0,87000.0,apartment,3,1581.8181818181818,1,168,2,3,POINT (-58.3968578 -34.753863),3
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7453932,-58.3905213,40.0,73662.0,apartment,1,1841.55,1,168,2,1,POINT (-58.3905213 -34.7453932),4
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7453932,-58.3905213,67.0,123298.0,apartment,2,1840.2686567164176,1,168,2,2,POINT (-58.3905213 -34.7453932),4
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7453932,-58.3905213,35.0,59125.0,apartment,1,1689.2857142857142,1,168,2,1,POINT (-58.3905213 -34.7453932),3
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.762963799999994,-58.401838100000006,110.0,72908.77,store,,662.807,3,168,2,-1,POINT (-58.401838100000006 -34.762963799999994),0
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7730544712,-58.4019806634,122.0,220000.0,apartment,4 o mas,1803.27868852459,1,168,2,4,POINT (-58.4019806634 -34.7730544712),4
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.743471,-58.385547,52.0,105000.0,PH,3,2019.2307692307693,0,168,2,3,POINT (-58.385547 -34.743471),4
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.776406200000004,-58.4032024,160.0,330000.0,house,4 o mas,2062.5,2,168,2,4,POINT (-58.4032024 -34.776406200000004),5
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7430035,-58.3751188,212.0,160000.0,house,,754.7169811320755,2,168,2,-1,POINT (-58.3751188 -34.7430035),0
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.741631,-58.39641120000001,53.0,130000.0,apartment,3,2452.830188679245,1,168,2,3,POINT (-58.39641120000001 -34.741631),6
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7437482,-58.4072355,39.0,80000.0,apartment,1,2051.2820512820517,1,168,2,1,POINT (-58.4072355 -34.7437482),5
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.789865899999995,-58.4256055,300.0,85000.0,house,3,283.3333333333333,2,168,2,3,POINT (-58.4256055 -34.789865899999995),0
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7769549,-58.38482270000001,217.0,225000.0,PH,4 o mas,1036.8663594470047,0,168,2,4,POINT (-58.38482270000001 -34.7769549),1
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.748586,-58.377925,20.0,200000.0,house,4 o mas,10000.0,2,168,2,4,POINT (-58.377925 -34.748586),9
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.771212,-58.392463,140.0,229000.0,house,4 o mas,1635.7142857142858,2,168,2,4,POINT (-58.392463 -34.771212),3
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.814194,-58.432582,20.0,450000.0,store,0,22500.0,3,168,2,0,POINT (-58.432582 -34.814194),9
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.719927899999995,-58.4701585,121.0,120000.0,house,3,991.7355371900826,2,168,2,3,POINT (-58.4701585 -34.719927899999995),1
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.782695000000004,-58.391231000000005,20.0,240000.0,house,4 o mas,12000.0,2,168,2,4,POINT (-58.391231000000005 -34.782695000000004),9
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.8152159,-58.3938233,47.0,115000.0,apartment,1,2446.808510638298,1,168,2,1,POINT (-58.3938233 -34.8152159),6
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7659982,-58.3930349,80.0,155000.0,house,2,1937.5,2,168,2,2,POINT (-58.3930349 -34.7659982),4
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.742882,-58.394308,35.0,51500.0,apartment,1,1471.428571428571,1,168,2,1,POINT (-58.394308 -34.742882),2
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.744101,-58.410761,63.0,155000.0,house,3,2460.31746031746,2,168,2,3,POINT (-58.410761 -34.744101),6
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7529096,-58.3725399,55.0,80000.0,house,1,1454.5454545454545,2,168,2,1,POINT (-58.3725399 -34.7529096),2
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.728488,-58.4786485,140.0,90000.0,house,3,642.8571428571429,2,168,2,3,POINT (-58.4786485 -34.728488),0
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.783894200000006,-58.4072863,960.0,450000.0,house,4 o mas,468.75,2,168,2,4,POINT (-58.4072863 -34.783894200000006),0
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.781154976,-58.3848390884,10.0,220000.0,house,4 o mas,22000.0,2,168,2,4,POINT (-58.3848390884 -34.781154976),9
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7874674,-58.4270392,65.0,89900.0,PH,3,1383.076923076923,0,168,2,3,POINT (-58.4270392 -34.7874674),2
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.743688,-58.411002,20.0,80000.0,store,0,4000.0,3,168,2,0,POINT (-58.411002 -34.743688),9
Lomas de Zamora,Bs.As. G.B.A. Zona Sur,-34.7541044,-58.4284076,78.0,60000.0,PH,3,769.2307692307693,0,168,2,3,POINT (-58.4284076 -34.7541044),0
