municipio,provincia,lat,lon,sup_m2_total,precio_usd,tipo,ambientes_cat,precio_usd_por_m2,tipo_cat_code,municipio_cat_code,provincia_cat_code,ambientes_cat_code,geometry,precio_usd_por_m2_cat
Tigre,Bs.As. G.B.A. Zona Norte,-34.425087,-58.5796585,270.0,570000.0,house,4 o mas,2111.1111111111118,2,341,0,4,POINT (-58.5796585 -34.425087),5
Tigre,Bs.As. G.B.A. Zona Norte,-34.40083,-58.677943000000006,100.0,185000.0,apartment,3,1850.0,1,341,0,3,POINT (-58.677943000000006 -34.40083),4
Tigre,Bs.As. G.B.A. Zona Norte,-34.462657,-58.624077,612.0,1250000.0,house,4 o mas,2042.483660130719,2,341,0,4,POINT (-58.624077 -34.462657),5
Tigre,Bs.As. G.B.A. Zona Norte,-34.379763477800005,-58.6778488076,300.0,420000.0,house,4 o mas,1400.0,2,341,0,4,POINT (-58.6778488076 -34.379763477800005),2
Tigre,Bs.As. G.B.A. Zona Norte,-34.3825969172,-58.685745231000006,300.0,420000.0,house,4 o mas,1400.0,2,341,0,4,POINT (-58.685745231000006 -34.3825969172),2
Tigre,Bs.As. G.B.A. Zona Norte,-34.3806135197,-58.6860885537,300.0,420000.0,house,4 o mas,1400.0,2,341,0,4,POINT (-58.6860885537 -34.3806135197),2
Tigre,Bs.As. G.B.A. Zona Norte,-34.3714273,-58.67931039999999,200.0,390000.0,house,4 o mas,1950.0,2,341,0,4,POINT (-58.67931039999999 -34.3714273),4
Tigre,Bs.As. G.B.A. Zona Norte,-34.420363,-58.71059399999999,51.0,130000.0,apartment,1,2549.019607843137,1,341,0,1,POINT (-58.71059399999999 -34.420363),6
Tigre,Bs.As. G.B.A. Zona Norte,-34.4223435007,-58.5794868386,100.0,170000.0,house,2,1700.0,2,341,0,2,POINT (-58.5794868386 -34.4223435007),3
Tigre,Bs.As. G.B.A. Zona Norte,-34.4309527,-58.5621323,160.0,270000.0,house,4 o mas,1687.5,2,341,0,4,POINT (-58.5621323 -34.4309527),3
Tigre,Bs.As. G.B.A. Zona Norte,-34.4309527,-58.5621323,160.0,290000.0,house,4 o mas,1812.5,2,341,0,4,POINT (-58.5621323 -34.4309527),4
Tigre,Bs.As. G.B.A. Zona Norte,-34.4538305,-58.622443700000005,340.0,590000.0,house,4 o mas,1735.2941176470588,2,341,0,4,POINT (-58.622443700000005 -34.4538305),3
Tigre,Bs.As. G.B.A. Zona Norte,-34.425087,-58.5796585,75.0,225000.0,apartment,3,3000.0,1,341,0,3,POINT (-58.5796585 -34.425087),7
Tigre,Bs.As. G.B.A. Zona Norte,-34.4538305,-58.622443700000005,355.0,1150000.0,house,4 o mas,3239.43661971831,2,341,0,4,POINT (-58.622443700000005 -34.4538305),8
Tigre,Bs.As. G.B.A. Zona Norte,-34.425087,-58.5796585,220.0,420000.0,house,4 o mas,1909.090909090909,2,341,0,4,POINT (-58.5796585 -34.425087),4
Tigre,Bs.As. G.B.A. Zona Norte,-34.4084292,-58.592348,59.0,165000.0,apartment,2,2796.610169491525,1,341,0,2,POINT (-58.592348 -34.4084292),7
Tigre,Bs.As. G.B.A. Zona Norte,-34.4251796,-58.5927394,91.0,205000.0,apartment,4 o mas,2252.747252747253,1,341,0,4,POINT (-58.5927394 -34.4251796),5
Tigre,Bs.As. G.B.A. Zona Norte,-34.437085,-58.583082,80.0,145000.0,house,3,1812.5,2,341,0,3,POINT (-58.583082 -34.437085),4
Tigre,Bs.As. G.B.A. Zona Norte,-34.4266609,-58.5706082,317.0,930000.0,house,4 o mas,2933.753943217665,2,341,0,4,POINT (-58.5706082 -34.4266609),7
Tigre,Bs.As. G.B.A. Zona Norte,-34.426927749099995,-58.5670843041,49.0,178017.0,apartment,2,3633.0,1,341,0,2,POINT (-58.5670843041 -34.426927749099995),8
Tigre,Bs.As. G.B.A. Zona Norte,-34.4268923504,-58.5668268121,46.0,139849.02,apartment,2,3040.1960869565214,1,341,0,2,POINT (-58.5668268121 -34.4268923504),8
Tigre,Bs.As. G.B.A. Zona Norte,-34.4270339449,-58.5668697274,76.0,310869.0,apartment,3,4090.381578947368,1,341,0,3,POINT (-58.5668697274 -34.4270339449),9
Tigre,Bs.As. G.B.A. Zona Norte,-34.4270339449,-58.5669984734,96.0,370246.0,apartment,4 o mas,3856.7291666666665,1,341,0,4,POINT (-58.5669984734 -34.4270339449),9
Tigre,Bs.As. G.B.A. Zona Norte,-34.4270693435,-58.566955558100005,96.0,421528.0,apartment,4 o mas,4390.916666666667,1,341,0,4,POINT (-58.566955558100005 -34.4270693435),9
Tigre,Bs.As. G.B.A. Zona Norte,-34.426927749099995,-58.5669984734,75.0,322129.0,apartment,3,4295.053333333333,1,341,0,3,POINT (-58.5669984734 -34.426927749099995),9
Tigre,Bs.As. G.B.A. Zona Norte,-34.427104742,-58.5670413888,105.0,445550.0,apartment,4 o mas,4243.333333333333,1,341,0,4,POINT (-58.5670413888 -34.427104742),9
Tigre,Bs.As. G.B.A. Zona Norte,-34.4270339449,-58.5669984734,155.0,647977.0,apartment,4 o mas,4180.496774193548,1,341,0,4,POINT (-58.5669984734 -34.4270339449),9
Tigre,Bs.As. G.B.A. Zona Norte,-34.4269631477,-58.5668268121,127.0,490597.0,apartment,3,3862.968503937008,1,341,0,3,POINT (-58.5668268121 -34.4269631477),9
